Proceso,Seccion,Cod_Seccion,Oficina_Productora,Cod_Oficina,Cod_Serie,Serie,Subserie_TipoDocumental,Soporte_Fisico,Soporte_Electronico,Retencion_ArchivoGestion,Retencion_ArchivoCentral,Disp_ConservacionTotal,Disp_Eliminacion,Disp_Seleccion,Disp_MedioDigital,Procedimiento
Investigación,Vicerrectoría Académica,1300,Investigación,1320,1320,"UNIDAD DE INNOVACIÓN Y DESARROLLO
*Actas de inicio y finalización
*Lista de verificación
*Actas de reunión y asesorías
*Planes",,X,,7 años,7 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,ACTAS,Actas comité de becas,X,,7 años,3 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,ACTAS,Actas de reuniones,X,,7 años,3 años,,,X,,
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,COMUNICACIONES,Comunicaciones internas,X,,1 año,2 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,COMUNICACIONES,Comunicaciones externas,X,,1 año,2 años,,,X,,
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,CONVENIOS,Convenio específico,X,,5 años,1 año,,,X,,"Cumplido el tiempo de retención en el archivo de gestión, se seleccionan los convenios que ya no se encuentran activos y se realiza transferencia al archivo central para su conservación en el tiempo establecido."
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,ESTADÍSTICAS,Consolidado de estadísticas servicios de bienestar Institucional,,X,7 años,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,HISTORIAS,Historias de servicios asistenciales,X,,5 años,15 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,INFORMES,Informe de actividades,X,X,7 años,1 año,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,INFORMES,Informe de permanencia estudiantil,X,,7 años,1 año,,,X,,
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,INFORMES,Informe estudios de egresados,,X,7 años,1 año,,,X,,
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,INFORMES,Informe seguimiento a egresados,,X,7 años,1 año,,,X,,
Bienestar Institucional,Vicerrectoría Académica,1300,Bienestar institucional,1330,1330,INFORMES,Informes de gestión,,X,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,ACTAS,Actas de reuniones Extensión,X,,7 años,3 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,ACTAS,Actas de reuniones Internacionalización,X,,7 años,3 años,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,ACTAS,Actas de reuniones Proyección Social,X,,7 años,3 años,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,COMUNICACIONES,Comunicaciones internas,X,,1 año,2 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,COMUNICACIONES,Comunicaciones externas,X,,1 año,2 años,,,X,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,CONVENIOS,Convenio específico,X,,5 años,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,CONVENIOS,Convenio marco,X,,5 años,1 año,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,INFORMES,Informe de comisión,,X,7 años,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,INFORMES,Informes de gestión,,X,1 año,1 año,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,PROYECTOS,Proyectos de extensión universitaria y educación continuada,,X,7 años,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,PROYECTOS,Proyectos de internacionalización,,X,7 años,1 año,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,PROYECTOS,Proyectos de proyección social y responsabilidad social universitaria,,X,7 años,1 año,,X,,,
Relación con el Sector Externo,Vicerrectoría Académica,1300,Relación con el sector externo,1340,1340,REGISTROS,Registro de certificaciones,,X,7 años,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,ACTAS,Actas de entrega de diplomas,X,,20 años,20 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,ACTAS,Actas de grado,X,,20 años,20 años,X,,,X,
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,Estado de estudiantes por periodo académico.,,,X,20 años,80 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,Exámenes opcionales,,,X,5 años,5 años,X,,,X,
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,Habilitaciones,,,X,5 años,5 años,X,,,X,
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,Inscripciones,,,X,20 años,20 años,X,,,X,
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,Seguimiento trámites académicos,,,X,5 años,5 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que  serán eliminados
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,CORRECCIONES DE NOTAS,,X,,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,FICHAS DE DESERCIÓN,,,X,5 años,5 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que  serán eliminados
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,HISTORIAS,"Historias académicas
*Formulario de inscripción
*Fotocopia del documento de identidad
*Prueba de Estado Saber 11
*Acta de grado de bachiller o copia de diploma de bachiller o Acta de certificado de Educación Básica Secundaria para programas Técnicos profesionales
*Matrículas
*Acta de sustentación trabajo de grado
*Pruebas saber Pro - Pruebas Saber TyT
*Acta de grado de Título de Educación Superior (solo para graduados)
*Plan de Estudios
*Tabulados de notas
*Sanciones",X,,7 años,80 años,,,X,X,"
En caso que el estudiante no renueve su matricula se convierte en desertor y se traslada historia académica al archivo central con la totalidad de los documentos que conforman su historia académica conservandolos según el tiempo establecido en la TRD. 
Para graduados se realiza selección de documentos, eliminanado examen médico general, contenidos programáticos (en caso de homologaciones), soportes de pruebas académicas y comunicaciones."
Formación,Vicerrectoría Académica,1300,Formacion - Registro y control académico,1350,1350,REGISTROS,Registro de notas,,X,5 años,5 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,ACTAS,Actas de baja de material bibliográfico,X,,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,ESTADÍSTICAS,Consolidado de estadísticas servicios de la biblioteca,,X,7 años,3 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,INFORMES,Informes de gestión,,X,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,REGISTROS,Planilla de registro inventario y catalogación de material bibliográfico,,X,1 año,1 año,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que  serán eliminados
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,REGISTROS,Planilla de registro préstamo material bibliográfico,X,,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,REGISTROS,Planilla de registro uso de biblioteca virtual,X,,1 año,1 año,,X,,,
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,REGISTROS,Planilla de Registro uso Servicios de Biblioteca,X,,1 año,1 año,,X,,,
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Biblioteca,1360,1360,REGISTROS,Recomendación bibliográfica,,X,1 año,1 año,,X,,,
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,ACTAS,Actas de reuniones,X,,1 año,3 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,COMUNICACIONES,Comunicaciones internas,X,,1 año,2 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que  serán eliminados
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,COMUNICACIONES,Comunicaciones externas,X,,1 año,2 años,,,X,,
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,ESTADÍSTICAS,Consolidado estadístico uso de laboratorios y auditorios,,X,7 años,3 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,INFORMES,Informe de gestión,,X,1 año,1 año,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,REGISTROS,Registro calendario de mantenimiento de equipos de cómputo,,X,1 año,3 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Medios Educativos,Vicerrectoría Académica,1300,Medios Educativos - Laboratorios,1370,1370,REGISTROS,Registro uso de espacios académicos,,X,1 año,3 años,,X,,,
